mol_smiles,route
O=C(Nc1cc(-c2ccc3c(c2)[nH]c2ccccc23)nc2cc(F)ccc12)c1ccc2cc(Br)ccc2c1,"Nc1cc(Br)nc2cc(F)ccc12.OB(O)c1ccc2c(c1)[nH]c1ccccc12>>Nc1cc(-c2ccc3c(c2)[nH]c2ccccc23)nc2cc(F)ccc12,Nc1cc(-c2ccc3c(c2)[nH]c2ccccc23)nc2cc(F)ccc12.O=C(Cl)c1ccc2cc(Br)ccc2c1>>O=C(Nc1cc(-c2ccc3c(c2)[nH]c2ccccc23)nc2cc(F)ccc12)c1ccc2cc(Br)ccc2c1"
O=C(Nc1cc(-c2ccc3oc4ccccc4c3c2)nc2cc(F)ccc12)c1ccc2cc(Br)ccc2c1,"Nc1cc(Br)nc2cc(F)ccc12.OB(O)c1ccc2oc3ccccc3c2c1>>Nc1cc(-c2ccc3oc4ccccc4c3c2)nc2cc(F)ccc12,Nc1cc(-c2ccc3oc4ccccc4c3c2)nc2cc(F)ccc12.O=C(Cl)c1ccc2cc(Br)ccc2c1>>O=C(Nc1cc(-c2ccc3oc4ccccc4c3c2)nc2cc(F)ccc12)c1ccc2cc(Br)ccc2c1"
O=C(Nc1cc2c(-c3ccc4ncccc4c3)c(Cl)[nH]c2c(Cl)c1F)c1ccc2cc(Br)ccc2c1,"Nc1cc2c(Br)c(Cl)[nH]c2c(Cl)c1F.OB(O)c1ccc2ncccc2c1>>Nc1cc2c(-c3ccc4ncccc4c3)c(Cl)[nH]c2c(Cl)c1F,Nc1cc2c(-c3ccc4ncccc4c3)c(Cl)[nH]c2c(Cl)c1F.O=C(Cl)c1ccc2cc(Br)ccc2c1>>O=C(Nc1cc2c(-c3ccc4ncccc4c3)c(Cl)[nH]c2c(Cl)c1F)c1ccc2cc(Br)ccc2c1"
O=C(Nc1cc2c(-c3cnc4ccccc4c3)c(Cl)[nH]c2c(Cl)c1F)c1ccc2cc(Br)ccc2c1,"Nc1cc2c(Br)c(Cl)[nH]c2c(Cl)c1F.OB(O)c1cnc2ccccc2c1>>Nc1cc2c(-c3cnc4ccccc4c3)c(Cl)[nH]c2c(Cl)c1F,Nc1cc2c(-c3cnc4ccccc4c3)c(Cl)[nH]c2c(Cl)c1F.O=C(Cl)c1ccc2cc(Br)ccc2c1>>O=C(Nc1cc2c(-c3cnc4ccccc4c3)c(Cl)[nH]c2c(Cl)c1F)c1ccc2cc(Br)ccc2c1"
O=C(Nc1c(F)c(Cl)c2[nH]cc(-c3ccc4ncccc4c3)c2c1Cl)c1ccc2cc(Br)ccc2c1,"Nc1c(F)c(Cl)c2[nH]cc(Br)c2c1Cl.OB(O)c1ccc2ncccc2c1>>Nc1c(F)c(Cl)c2[nH]cc(-c3ccc4ncccc4c3)c2c1Cl,Nc1c(F)c(Cl)c2[nH]cc(-c3ccc4ncccc4c3)c2c1Cl.O=C(Cl)c1ccc2cc(Br)ccc2c1>>O=C(Nc1c(F)c(Cl)c2[nH]cc(-c3ccc4ncccc4c3)c2c1Cl)c1ccc2cc(Br)ccc2c1"
